"Step","mac_fw1b_l12_baseline_s1337:train - train/loss","mac_fw1b_l12_baseline_s1337:train - train/loss__MIN","mac_fw1b_l12_baseline_s1337:train - train/loss__MAX"
"2640","4.640625","4.640625","4.640625"
"2650","4.6171875","4.6171875","4.6171875"
"2660","4.6953125","4.6953125","4.6953125"
"2670","4.46875","4.46875","4.46875"
"2680","4.5703125","4.5703125","4.5703125"
"2690","4.625","4.625","4.625"
"2700","4.6953125","4.6953125","4.6953125"
"2710","4.71875","4.71875","4.71875"
"2720","4.640625","4.640625","4.640625"
"2730","4.453125","4.453125","4.453125"
"2740","4.5390625","4.5390625","4.5390625"
"2750","4.6328125","4.6328125","4.6328125"
"2760","4.5859375","4.5859375","4.5859375"
"2770","4.5546875","4.5546875","4.5546875"
"2780","4.6015625","4.6015625","4.6015625"
"2790","4.5625","4.5625","4.5625"
"2800","4.5859375","4.5859375","4.5859375"
"2810","4.59375","4.59375","4.59375"
"2820","4.5","4.5","4.5"
"2830","4.5546875","4.5546875","4.5546875"
"2840","4.5234375","4.5234375","4.5234375"
"2850","4.578125","4.578125","4.578125"
"2860","4.5390625","4.5390625","4.5390625"
"2870","4.4609375","4.4609375","4.4609375"
"2880","4.609375","4.609375","4.609375"
"2890","4.609375","4.609375","4.609375"
"2900","4.4375","4.4375","4.4375"
"2910","4.375","4.375","4.375"
"2920","4.375","4.375","4.375"
"2930","4.5","4.5","4.5"
"2940","4.5390625","4.5390625","4.5390625"
"2950","4.5390625","4.5390625","4.5390625"
"2960","4.578125","4.578125","4.578125"
"2970","4.5703125","4.5703125","4.5703125"
"2980","4.5234375","4.5234375","4.5234375"
"2990","4.59375","4.59375","4.59375"
"3000","4.5625","4.5625","4.5625"
"3010","4.5","4.5","4.5"
"3020","4.5703125","4.5703125","4.5703125"
"3030","4.3828125","4.3828125","4.3828125"
"3040","4.4921875","4.4921875","4.4921875"
"3050","4.46875","4.46875","4.46875"
"3060","4.5546875","4.5546875","4.5546875"
"3070","4.671875","4.671875","4.671875"
"3080","4.4375","4.4375","4.4375"
"3090","4.4609375","4.4609375","4.4609375"
"3100","4.5390625","4.5390625","4.5390625"
"3110","4.5","4.5","4.5"
"3120","4.5078125","4.5078125","4.5078125"
"3130","4.4453125","4.4453125","4.4453125"
"3140","4.3984375","4.3984375","4.3984375"
"3150","4.7734375","4.7734375","4.7734375"
"3160","4.4296875","4.4296875","4.4296875"
"3170","4.421875","4.421875","4.421875"
"3180","4.65625","4.65625","4.65625"
"3190","4.40625","4.40625","4.40625"
"3200","4.3671875","4.3671875","4.3671875"
"3210","4.625","4.625","4.625"
"3220","4.5078125","4.5078125","4.5078125"
"3230","4.5546875","4.5546875","4.5546875"
"3240","4.484375","4.484375","4.484375"
"3250","4.4453125","4.4453125","4.4453125"
"3260","4.4296875","4.4296875","4.4296875"
"3270","4.4140625","4.4140625","4.4140625"
"3280","4.46875","4.46875","4.46875"
"3290","4.3671875","4.3671875","4.3671875"
"3300","4.3515625","4.3515625","4.3515625"
"3310","4.359375","4.359375","4.359375"
"3320","4.4296875","4.4296875","4.4296875"
"3330","4.2734375","4.2734375","4.2734375"
"3340","4.46875","4.46875","4.46875"
"3350","4.4140625","4.4140625","4.4140625"
"3360","4.4765625","4.4765625","4.4765625"
"3370","4.4453125","4.4453125","4.4453125"
"3380","4.375","4.375","4.375"
"3390","4.4609375","4.4609375","4.4609375"
"3400","4.3671875","4.3671875","4.3671875"
"3410","4.4140625","4.4140625","4.4140625"
"3420","4.28125","4.28125","4.28125"
"3430","4.390625","4.390625","4.390625"
"3440","4.4296875","4.4296875","4.4296875"
"3450","4.265625","4.265625","4.265625"
"3460","4.4375","4.4375","4.4375"
"3470","4.34375","4.34375","4.34375"
"3480","4.34375","4.34375","4.34375"
"3490","4.3203125","4.3203125","4.3203125"
"3500","4.390625","4.390625","4.390625"
"3510","4.546875","4.546875","4.546875"
"3520","4.4765625","4.4765625","4.4765625"
"3530","4.21875","4.21875","4.21875"
"3540","4.3828125","4.3828125","4.3828125"
"3550","4.3359375","4.3359375","4.3359375"
"3560","4.375","4.375","4.375"
"3570","4.4296875","4.4296875","4.4296875"
"3580","4.3984375","4.3984375","4.3984375"
"3590","4.484375","4.484375","4.484375"
"3600","4.296875","4.296875","4.296875"
"3610","4.34375","4.34375","4.34375"
"3620","4.4375","4.4375","4.4375"
"3630","4.3984375","4.3984375","4.3984375"
"3640","4.3359375","4.3359375","4.3359375"
"3650","4.2890625","4.2890625","4.2890625"
"3660","4.2578125","4.2578125","4.2578125"
"3670","4.2890625","4.2890625","4.2890625"
"3680","4.28125","4.28125","4.28125"
"3690","4.4296875","4.4296875","4.4296875"
"3700","4.2890625","4.2890625","4.2890625"
"3710","4.4296875","4.4296875","4.4296875"
"3720","4.3828125","4.3828125","4.3828125"
"3730","4.3046875","4.3046875","4.3046875"
"3740","4.359375","4.359375","4.359375"
"3750","4.4765625","4.4765625","4.4765625"
"3760","4.2890625","4.2890625","4.2890625"
"3770","4.1953125","4.1953125","4.1953125"
"3780","4.296875","4.296875","4.296875"
"3790","4.265625","4.265625","4.265625"
"3800","4.3046875","4.3046875","4.3046875"
"3810","4.234375","4.234375","4.234375"
"3820","4.421875","4.421875","4.421875"
"3830","4.25","4.25","4.25"
"3840","4.2265625","4.2265625","4.2265625"
"3850","4.2890625","4.2890625","4.2890625"
"3860","4.34375","4.34375","4.34375"
"3870","4.390625","4.390625","4.390625"
"3880","4.3828125","4.3828125","4.3828125"
"3890","4.3125","4.3125","4.3125"
"3900","4.2109375","4.2109375","4.2109375"
"3910","4.3203125","4.3203125","4.3203125"
"3920","4.28125","4.28125","4.28125"
"3930","4.24609375","4.24609375","4.24609375"
"3940","4.2109375","4.2109375","4.2109375"
"3950","4.1875","4.1875","4.1875"
"3960","4.2265625","4.2265625","4.2265625"
"3970","4.421875","4.421875","4.421875"
"3980","4.2890625","4.2890625","4.2890625"
"3990","4.3125","4.3125","4.3125"
"4000","4.1953125","4.1953125","4.1953125"
"4010","4.234375","4.234375","4.234375"
"4020","4.1875","4.1875","4.1875"
"4030","4.171875","4.171875","4.171875"
"4040","4.3046875","4.3046875","4.3046875"
"4050","4.3125","4.3125","4.3125"
"4060","4.25","4.25","4.25"
"4070","4.359375","4.359375","4.359375"
"4080","4.2265625","4.2265625","4.2265625"
"4090","4.296875","4.296875","4.296875"
"4100","4.2421875","4.2421875","4.2421875"
"4110","4.2421875","4.2421875","4.2421875"
"4120","4.3671875","4.3671875","4.3671875"
"4130","4.2109375","4.2109375","4.2109375"
"4140","4.3046875","4.3046875","4.3046875"
"4150","4.2734375","4.2734375","4.2734375"
"4160","4.1953125","4.1953125","4.1953125"
"4170","4.265625","4.265625","4.265625"
"4180","4.22265625","4.22265625","4.22265625"
"4190","4.109375","4.109375","4.109375"
"4200","4.3046875","4.3046875","4.3046875"
"4210","4.296875","4.296875","4.296875"
"4220","4.21875","4.21875","4.21875"
"4230","4.1953125","4.1953125","4.1953125"
"4240","4.1640625","4.1640625","4.1640625"
"4250","4.234375","4.234375","4.234375"
"4260","4.3203125","4.3203125","4.3203125"
"4270","4.2265625","4.2265625","4.2265625"
"4280","4.3125","4.3125","4.3125"
"4290","4.1953125","4.1953125","4.1953125"
"4300","4.2578125","4.2578125","4.2578125"
"4310","4.2109375","4.2109375","4.2109375"
"4320","4.3671875","4.3671875","4.3671875"
"4330","4.125","4.125","4.125"
"4340","4.2734375","4.2734375","4.2734375"
"4350","4.34375","4.34375","4.34375"
"4360","4.1953125","4.1953125","4.1953125"
"4370","4.203125","4.203125","4.203125"
"4380","4.3203125","4.3203125","4.3203125"
"4390","4.1875","4.1875","4.1875"
"4400","4.28125","4.28125","4.28125"
"4410","4.10546875","4.10546875","4.10546875"
"4420","4.1171875","4.1171875","4.1171875"
"4430","4.2109375","4.2109375","4.2109375"
"4440","4.28125","4.28125","4.28125"
"4450","4.2890625","4.2890625","4.2890625"
"4460","4.11328125","4.11328125","4.11328125"
"4470","4.234375","4.234375","4.234375"
"4480","4.23046875","4.23046875","4.23046875"
"4490","4.1015625","4.1015625","4.1015625"
"4500","4.1796875","4.1796875","4.1796875"
"4510","4.171875","4.171875","4.171875"
"4520","4.2109375","4.2109375","4.2109375"
"4530","4.21875","4.21875","4.21875"
"4540","4.1796875","4.1796875","4.1796875"
"4550","4.1171875","4.1171875","4.1171875"
"4560","4.26171875","4.26171875","4.26171875"
"4570","4.08203125","4.08203125","4.08203125"
"4580","4.2578125","4.2578125","4.2578125"
"4590","4.05859375","4.05859375","4.05859375"
"4600","4.16015625","4.16015625","4.16015625"
"4610","4.234375","4.234375","4.234375"
"4620","4.1015625","4.1015625","4.1015625"
"4630","4.07421875","4.07421875","4.07421875"
"4640","4.234375","4.234375","4.234375"
"4650","4.3203125","4.3203125","4.3203125"
"4660","4.0625","4.0625","4.0625"
"4670","4.1640625","4.1640625","4.1640625"
"4680","4.078125","4.078125","4.078125"
"4690","4.19921875","4.19921875","4.19921875"
"4700","4.21875","4.21875","4.21875"
"4710","4.21875","4.21875","4.21875"
"4720","4.1640625","4.1640625","4.1640625"
"4730","4.2265625","4.2265625","4.2265625"
"4740","4.30078125","4.30078125","4.30078125"
"4750","4.09375","4.09375","4.09375"
"4760","4.09765625","4.09765625","4.09765625"
"4770","4.10546875","4.10546875","4.10546875"
"4780","4.265625","4.265625","4.265625"
"4790","4.234375","4.234375","4.234375"
"4800","4.1953125","4.1953125","4.1953125"
"4810","4.2109375","4.2109375","4.2109375"
"4820","4.421875","4.421875","4.421875"
"4830","4.20703125","4.20703125","4.20703125"
"4840","4.1953125","4.1953125","4.1953125"
"4850","4.1640625","4.1640625","4.1640625"
"4860","4.265625","4.265625","4.265625"
"4870","4.2109375","4.2109375","4.2109375"
"4880","4.21875","4.21875","4.21875"
"4890","4.109375","4.109375","4.109375"
"4900","4.015625","4.015625","4.015625"
"4910","4.0859375","4.0859375","4.0859375"
"4920","4.1875","4.1875","4.1875"
"4930","4.2421875","4.2421875","4.2421875"
"4940","4.12890625","4.12890625","4.12890625"
"4950","4.15625","4.15625","4.15625"
"4960","4.234375","4.234375","4.234375"
"4970","4.0703125","4.0703125","4.0703125"
"4980","4.21875","4.21875","4.21875"
"4990","4.15625","4.15625","4.15625"
"5000","4.1171875","4.1171875","4.1171875"
"5010","4.078125","4.078125","4.078125"
"5020","4.1953125","4.1953125","4.1953125"
"5030","4.1875","4.1875","4.1875"
"5040","4.25","4.25","4.25"
"5050","4.171875","4.171875","4.171875"
"5060","4.0625","4.0625","4.0625"
"5070","4.1953125","4.1953125","4.1953125"
"5080","4.078125","4.078125","4.078125"
"5090","4.1015625","4.1015625","4.1015625"
"5100","4.3046875","4.3046875","4.3046875"
"5110","4.06640625","4.06640625","4.06640625"
"5120","4.1796875","4.1796875","4.1796875"
"5130","4.15234375","4.15234375","4.15234375"
"5140","4.046875","4.046875","4.046875"
"5150","4.04296875","4.04296875","4.04296875"
"5160","4.1015625","4.1015625","4.1015625"
"5170","4.125","4.125","4.125"
"5180","4.25","4.25","4.25"
"5190","4.0859375","4.0859375","4.0859375"
"5200","4.07421875","4.07421875","4.07421875"
"5210","4.0625","4.0625","4.0625"
"5220","4.390625","4.390625","4.390625"
"5230","4.1953125","4.1953125","4.1953125"
"5240","4.15625","4.15625","4.15625"
"5250","4.0703125","4.0703125","4.0703125"
"5260","4.21484375","4.21484375","4.21484375"
"5270","4.2421875","4.2421875","4.2421875"
"5280","4.203125","4.203125","4.203125"
"5290","4.109375","4.109375","4.109375"
"5300","4.1171875","4.1171875","4.1171875"
"5310","4.1640625","4.1640625","4.1640625"
"5320","4.1171875","4.1171875","4.1171875"
"5330","4.1875","4.1875","4.1875"
"5340","4.0703125","4.0703125","4.0703125"
"5350","4.10546875","4.10546875","4.10546875"
"5360","4.1640625","4.1640625","4.1640625"
"5370","4.1875","4.1875","4.1875"
"5380","4.19921875","4.19921875","4.19921875"
"5390","4.19140625","4.19140625","4.19140625"
"5400","4.0625","4.0625","4.0625"
"5410","4.0703125","4.0703125","4.0703125"
"5420","4.12109375","4.12109375","4.12109375"
"5430","3.98046875","3.98046875","3.98046875"
"5440","4.078125","4.078125","4.078125"
"5450","4.078125","4.078125","4.078125"
"5460","4.14453125","4.14453125","4.14453125"
"5470","4.234375","4.234375","4.234375"
"5480","4.171875","4.171875","4.171875"
"5490","4.078125","4.078125","4.078125"
"5500","4.01953125","4.01953125","4.01953125"
"5510","3.9296875","3.9296875","3.9296875"
"5520","4.09375","4.09375","4.09375"
"5530","4.078125","4.078125","4.078125"
"5540","4.1953125","4.1953125","4.1953125"
"5550","4.13671875","4.13671875","4.13671875"
"5560","4.046875","4.046875","4.046875"
"5570","4.0234375","4.0234375","4.0234375"
"5580","4.10546875","4.10546875","4.10546875"
"5590","4.03125","4.03125","4.03125"
"5600","4.2109375","4.2109375","4.2109375"
"5610","4.1796875","4.1796875","4.1796875"
"5620","4.046875","4.046875","4.046875"
"5630","4.0859375","4.0859375","4.0859375"
"5640","3.9765625","3.9765625","3.9765625"
"5650","4.0859375","4.0859375","4.0859375"
"5660","4.1328125","4.1328125","4.1328125"
"5670","4.03125","4.03125","4.03125"
"5680","4","4","4"
"5690","4.0234375","4.0234375","4.0234375"
"5700","4.359375","4.359375","4.359375"
"5710","4.046875","4.046875","4.046875"
"5720","4.12109375","4.12109375","4.12109375"
"5730","4.1640625","4.1640625","4.1640625"
"5740","4.11328125","4.11328125","4.11328125"
"5750","4.015625","4.015625","4.015625"
"5760","4.01171875","4.01171875","4.01171875"
"5770","3.9765625","3.9765625","3.9765625"
"5780","4.4375","4.4375","4.4375"
"5790","3.98046875","3.98046875","3.98046875"
"5800","4.1015625","4.1015625","4.1015625"
"5810","3.9296875","3.9296875","3.9296875"
"5820","4.078125","4.078125","4.078125"
"5830","4.0390625","4.0390625","4.0390625"
"5840","4.02734375","4.02734375","4.02734375"
"5850","4.1015625","4.1015625","4.1015625"
"5860","4.0234375","4.0234375","4.0234375"
"5870","4.04296875","4.04296875","4.04296875"
"5880","4.09375","4.09375","4.09375"
"5890","3.92578125","3.92578125","3.92578125"
"5900","4.0546875","4.0546875","4.0546875"
"5910","3.91796875","3.91796875","3.91796875"
"5920","4.0703125","4.0703125","4.0703125"
"5930","4.00390625","4.00390625","4.00390625"
"5940","3.99609375","3.99609375","3.99609375"
"5950","4.01171875","4.01171875","4.01171875"
"5960","4.0703125","4.0703125","4.0703125"
"5970","3.9921875","3.9921875","3.9921875"
"5980","4.09375","4.09375","4.09375"
"5990","3.9921875","3.9921875","3.9921875"
"6000","4.01171875","4.01171875","4.01171875"
"6010","4.0546875","4.0546875","4.0546875"
"6020","3.94921875","3.94921875","3.94921875"
"6030","3.96484375","3.96484375","3.96484375"
"6040","4.0703125","4.0703125","4.0703125"
"6050","4.03125","4.03125","4.03125"
"6060","4.046875","4.046875","4.046875"
"6070","4.01171875","4.01171875","4.01171875"
"6080","4.015625","4.015625","4.015625"
"6090","4.05078125","4.05078125","4.05078125"
"6100","4.0625","4.0625","4.0625"
"6110","3.9140625","3.9140625","3.9140625"
"6120","4.0078125","4.0078125","4.0078125"
"6130","3.91796875","3.91796875","3.91796875"
"6140","4.08984375","4.08984375","4.08984375"
"6150","4.02734375","4.02734375","4.02734375"
"6160","3.94140625","3.94140625","3.94140625"
"6170","4.140625","4.140625","4.140625"
"6180","3.99609375","3.99609375","3.99609375"
"6190","4.0546875","4.0546875","4.0546875"
"6200","4.078125","4.078125","4.078125"
"6210","3.97265625","3.97265625","3.97265625"
"6220","4.0546875","4.0546875","4.0546875"
"6230","3.99609375","3.99609375","3.99609375"
"6240","4.09765625","4.09765625","4.09765625"
"6250","3.91015625","3.91015625","3.91015625"
"6260","3.8984375","3.8984375","3.8984375"
"6270","4.06640625","4.06640625","4.06640625"
"6280","3.94921875","3.94921875","3.94921875"
"6290","4.140625","4.140625","4.140625"
"6300","3.95703125","3.95703125","3.95703125"
"6310","4.01171875","4.01171875","4.01171875"
"6320","3.8828125","3.8828125","3.8828125"
"6330","4","4","4"
"6340","3.95703125","3.95703125","3.95703125"
"6350","4.06640625","4.06640625","4.06640625"
"6360","4.05078125","4.05078125","4.05078125"
"6370","3.9921875","3.9921875","3.9921875"
"6380","4.01171875","4.01171875","4.01171875"
"6390","4.2421875","4.2421875","4.2421875"
"6400","4.01171875","4.01171875","4.01171875"
"6410","3.98828125","3.98828125","3.98828125"
"6420","3.96484375","3.96484375","3.96484375"
"6430","4","4","4"
